order_date,amount,product_name,product_id
2024-05-20,134.97,Adidas Essential Track Pants,140
2024-05-21,23.98,The Power of Habit by Charles Duhigg,141
2024-05-22,29.5,Clinique Dramatically Different Moisturizing Lotion,142
2024-05-23,299.99,YETI Tundra 45 Cooler,143
2024-05-24,549.0,Apple AirPods Max,144
2024-05-25,399.9,Cuisinart Coffee Center,145
2024-05-26,196.0,Levi's Sherpa Trucker Jacket,146
2024-05-27,32.97,The Outsiders by S.E. Hinton,147
2024-05-28,25.0,Laneige Water Sleeping Mask,148
2024-05-29,299.98,Bose SoundSport Wireless Earbuds,149
2024-05-30,349.99,Sony WH-1000XM4 Headphones,31
2024-05-31,399.98,Ninja Foodi Pressure Cooker,150
2024-06-01,164.97,Nike Sportswear Club Fleece Hoodie,151
2024-06-02,33.98,The Night Circus by Erin Morgenstern,152
2024-06-03,59.0,GlamGlow Supermud Clearing Treatment,153
2024-06-04,299.99,Garmin Forerunner 245,154
2024-06-05,899.99,Google Pixel 6 Pro,155
2024-06-06,499.95,Breville Nespresso Creatista Plus,156
2024-06-07,99.96,Under Armour Tech 2.0 T-Shirt,157
2024-06-08,23.97,The Art of War by Sun Tzu,158
2024-06-09,36.0,Youth to the People Superfood Antioxidant Cleanser,159
2024-06-10,69.98,TriggerPoint GRID Foam Roller,160
2024-06-11,1199.99,Apple MacBook Air,161
2024-06-12,199.99,Cuisinart Custom 14-Cup Food Processor,162
2024-06-13,149.95,Adidas 3-Stripes Shorts,163
2024-06-14,35.96,The Hunger Games by Suzanne Collins,164
2024-06-15,16.99,Neutrogena Hydro Boost Water Gel,165
2024-06-16,149.97,Yeti Rambler Bottle,166
2024-06-17,699.99,Samsung Odyssey G7 Gaming Monitor,167
2024-06-18,279.98,Instant Pot Duo Evo Plus,168
2024-06-19,104.97,Nike Tempo Running Shorts,169
2024-06-20,19.98,The Girl with the Dragon Tattoo by Stieg Larsson,170
2024-06-21,29.5,Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant,171
2024-06-22,699.99,Bowflex SelectTech 1090 Adjustable Dumbbells,172
2024-06-23,149.97,Amazon Fire TV Stick 4K,173
2024-06-24,99.98,Crock-Pot 6-Quart Slow Cooker,174
2024-06-25,59.6,Uniqlo Airism Mesh Boxer Briefs,175
2024-06-26,35.97,The Sun Also Rises by Ernest Hemingway,176
2024-06-27,68.0,First Aid Beauty Ultra Repair Cream,177
2024-06-28,146.0,Oakley Holbrook Sunglasses,178
2024-06-29,649.99,Google Pixelbook Go,179
2024-06-30,399.99,Dyson V8 Absolute,180
2024-07-01,179.97,Levi's 511 Slim Fit Jeans,181
2024-07-02,25.98,The Martian by Andy Weir,182
2024-07-03,190.0,La Mer Crème de la Mer Moisturizer,183
2024-07-04,499.95,Polar Vantage V2,184
2024-07-05,399.0,Sonos Beam Soundbar,185
2024-07-06,398.0,Anova Precision Cooker,186
2024-07-07,139.96,Nike Dri-FIT Training Shorts,187
2024-07-08,32.97,The Catcher in the Rye by J.D. Salinger,88
2024-07-09,18.0,Glossier Cloud Paint,188
2024-07-10,169.95,TRX All-in-One Suspension Training System,189
2024-07-11,199.99,Logitech G Pro X Wireless Gaming Headset,190
2024-07-12,199.95,Breville Smart Coffee Grinder Pro,191
2024-07-13,359.98,Adidas Ultraboost Running Shoes,192
2024-07-14,23.98,The Road by Cormac McCarthy,193
2024-07-15,125.0,Tom Ford Black Orchid Perfume,194
2024-07-16,449.99,GoPro HERO9 Black,195
2024-07-17,358.0,Apple TV 4K,196
2024-07-18,99.95,Instant Pot Duo Nova,197
2024-07-19,179.97,Gap 1969 Original Fit Jeans,198
2024-07-20,29.98,The Goldfinch by Donna Tartt,199
2024-07-21,52.0,Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment,200
2024-07-22,399.99,Yeti Tundra Haul Portable Wheeled Cooler,201
2024-07-23,299.99,Samsung Galaxy Watch 4,202
2024-07-24,379.99,KitchenAid Stand Mixer,203
2024-07-25,196.0,Lululemon Wunder Under High-Rise Leggings,204
2024-07-26,50.97,The Great Alone by Kristin Hannah,205
2024-07-27,79.0,Caudalie Vinoperfect Radiance Serum,206
2024-07-28,129.0,Bose SoundLink Color Bluetooth Speaker II,207
2024-07-29,749.99,Canon EOS Rebel T7i DSLR Camera,208
2024-07-30,339.98,Keurig K-Elite Coffee Maker,14
2024-07-31,39.6,Uniqlo Airism Seamless Boxer Briefs,209
2024-08-01,32.97,The Girl with the Dragon Tattoo by Stieg Larsson,170
2024-08-02,58.0,L'Occitane Shea Butter Hand Cream,210
2024-08-03,349.99,YETI Tundra 65 Cooler,211
2024-08-04,2399.0,Apple MacBook Pro 16-inch,212
2024-08-05,449.99,iRobot Braava Jet M6,213
2024-08-06,149.97,Champion Reverse Weave Hoodie,214
2024-08-07,25.98,The Nightingale by Kristin Hannah,215
2024-08-08,27.0,Tarte Shape Tape Concealer,216
2024-08-09,599.99,Garmin Forerunner 945,19
2024-08-10,199.96,Amazon Echo Dot (4th Gen),217
2024-08-11,459.98,Philips Sonicare DiamondClean Toothbrush,218
2024-08-12,89.98,Old Navy Mid-Rise Rockstar Super Skinny Jeans,219
2024-08-13,80.97,The Silent Patient by Alex Michaelides,52
2024-08-14,6.7,The Ordinary Caffeine Solution 5% + EGCG,220
2024-08-15,299.9,Fitbit Luxe,221
2024-08-16,169.0,Google Nest Wifi Router,222
2024-08-17,599.0,Anova Precision Oven,223
2024-08-18,259.96,Adidas Originals Trefoil Hoodie,224
2024-08-19,19.98,Dune by Frank Herbert,10
2024-08-20,24.0,Fresh Sugar Lip Treatment,225
2024-08-21,98.85,Hydro Flask Standard Mouth Water Bottle,226
2024-08-22,299.0,Bose QuietComfort 35 II Wireless Headphones,227
2024-08-23,159.99,Nespresso Vertuo Next Coffee and Espresso Maker,228
2024-08-24,270.0,Nike Air Force 1 Sneakers,229
2024-08-25,32.97,The Handmaid's Tale by Margaret Atwood,230
2024-08-26,55.0,Sunday Riley Luna Sleeping Night Oil,231
2024-08-27,59.98,Yeti Rambler 20 oz Tumbler,232
